Payout Date,,,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,,Category,,
low rise denim shortie cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡,Shorts/Jorts,07-11-2025,16773,$30.00,80.00%,$30.00,,$24.00,,,,,,,,,,Belts,$337.00,,,0001K6,Lay's Wave Roasted Chicken Wing Flavor Chips 70g ,,2,$9.98,$4.98,$9.98,$5.00,Prepackaged Snacks,,,,Prints,$0.00,0.00%
Victoria’s Secret red lace slip dress 𝕚 𝕝𝕠𝕧𝕖 𝕞𝕖!,Lingerie,07-11-2025,16779,$24.00,80.00%,$24.00,,$19.20,,,,,,,,,,Sweaters,$312.92,,,,,,,,,,,,,,,Total,"$10,075.72",
Y2k deadstock lingerie dress green blue 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Lingerie,07-11-2025,16779,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,Cardigans,$299.00,,,00037N,$5 Rack ,2025-07-11 17:27:23,1,$5.00,$0.00,$5.00,$5.00,,,,,,,
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-11-2025,16781,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Sportswear,$252.00,,,0001ZF,$10 steals ,,4,$40.00,$4.00,$40.00,$36.00,,,,,,,
vintage fox racing tee white 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Tees,07-11-2025,16784,$22.00,80.00%,$22.00,,$17.60,,,,,,,,,,Vests,$205.99,,,0001LU,Brown Work Coat ,2025-07-03 14:14:45,1,$14.00,$0.00,$14.00,$14.00,Coats,,,,Sale Items,,
hollister shortie detail 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Shorts/Jorts,07-11-2025,16793,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,Ceramics,$190.00,,,0001H4,Jhane Barnes Blue Button Up Long Sleeve ,2025-07-03 16:26:57,1,$12.00,$0.00,$12.00,$12.00,Button Ups,,,,$5 steals ,$5.00,
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-11-2025,16796,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Crewnecks,$140.49,,,0002CL,Nasfa Moda Collection Checkered Skirt WN ,2025-07-04 13:27:59,1,$12.00,$7.00,$12.00,$5.00,Skirts,,,,$10 steals ,$140.00,
black sparkle tank real tree  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Tank tops ,07-11-2025,16811,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Hats,$132.00,,,233,Vineyard Vines Navy Long Sleeve ,2025-07-04 13:46:13,1,$10.00,$0.00,$10.00,$10.00,Long Sleeves,,,,$12 steals ,$180.00,
vintage White House black market 3/4 blazer 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Jackets,07-13-2025,16932,$34.00,80.00%,$34.00,,$27.20,,,,,,,,,,Hair Accessories,$129.00,,,187,Polo Sport Ralph Lauren Neon Green and Black Hoodie ,2025-07-04 14:27:00,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,,$13 steals ,$13.00,
vintage slip dress 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Lingerie,07-14-2025,16960,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Stationery,$100.00,,,276,Logic The Rapper Everybody Tan Hoodie SS ,2025-07-04 14:40:34,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,,$14 steals ,$434.00,
vintage forever 21 button tee <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Tees,07-16-2025,17001,$34.00,80.00%,$34.00,,$27.20,,,,,,,,,,Overalls,$89.99,,,0001Z1,G-Star Raw Green Button Up Long Sleeve ,2025-07-04 14:41:52,1,$14.00,$0.00,$14.00,$14.00,Button Ups,,,,$14.99,$14.99,
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-16-2025,17019,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Athleticwear,$15.00,,,0001FW,Vtg Hard Rock Cafe Guam USA Tee ,2025-07-05 15:31:52,1,$10.00,$0.00,$10.00,$10.00,Tees,,,,Total,$786.99,7.81%
vintage forever 21 gray trench spring <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Jackets,07-16-2025,17019,$38.00,80.00%,$38.00,,$30.40,,,,,,,,,,Coats,$0.00,,,00025K,Vtg Designer Originals Red Sweater Made in USA ,2025-07-05 16:12:03,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,,,,
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-16-2025,17021,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Total,"$36,239.44",,,0001UD,Shu Shu Green Patterned Jacket ,2025-07-05 16:27:35,1,$12.00,$0.00,$12.00,$12.00,Jackets,,,,,,
bcbg black bling pants ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡,Jeans ,07-17-2025,17043,$35.00,80.00%,$35.00,,$28.00,,,,,,,,,,,,,,0001NQ,For The Republic Cropped Olive Jacket ,2025-07-06 17:56:17,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
$15 skirt  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-18-2025,17073,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,00012S,Urban Outfitters Colorblock Long Sleeve Polo ,2025-07-07 13:01:38,1,$13.00,$0.00,$13.00,$13.00,Long Sleeves,,,,,,
$25  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-18-2025,17089,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,00020N,The Disney Store Mickey Mouse Red Tee Made in USA ,2025-07-07 13:01:38,1,$12.00,$0.00,$12.00,$12.00,Tees,,,,,,
Vintage earl jean back detail shorties ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡,Shorts/Jorts,07-18-2025,17100,$30.00,80.00%,$30.00,,$24.00,,,,,,,,,,,,,,0001IC,Pacific Trail Black Windbreaker ,2025-07-07 16:21:07,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
jalate tie capri olive bb ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,Shorts/Jorts,07-18-2025,17118,$38.00,80.00%,$38.00,,$30.40,,,,,,,,,,,,,,00023F,Adidas Red Full Zip Hoodie ,2025-07-07 16:30:22,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,,,,
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-18-2025,17130,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,,,,,0001L3,Tan Suede Jacket ,2025-07-08 17:38:24,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
$25  skirt 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-19-2025,17146,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,0001XY,Dickies Tan Work Button Up Made in USA ,2025-07-09 13:26:29,1,$14.00,$0.00,$14.00,$14.00,Button Ups,,,,,,
shorts  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Shorts/Jorts,07-19-2025,17149,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,,,,,0001Z4,Las Olas Black Denim Jacket ,2025-07-09 12:21:33,1,$12.00,$0.00,$12.00,$12.00,Jackets,,,,,,
vintage jennifer moore gwens collection 𝓼𝓱𝓸𝓮 𝓭𝓻𝓸𝓹!,Misc. Accessories,07-19-2025,17153,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,0001MP,Hind Baby Blue Windbreaker ,2025-07-09 14:32:52,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
turquoise cross body bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,Bags,07-19-2025,17170,$35.00,80.00%,$35.00,,$28.00,,,,,,,,,,,,,,232,Abercrombie & Fitch Gray Hoodie ,2025-07-09 14:57:19,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,,,,
Joes jeans red beaded low rise shortie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,Shorts/Jorts,07-19-2025,17181,$35.00,80.00%,$35.00,,$28.00,,,,,,,,,,,,,,00020Y,Ann Taylor Loft Petites Cute Denim Jacket ,2025-07-10 14:24:48,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-19-2025,17183,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,215,Skitek Navy Skiing Jacket ,2025-07-10 15:24:32,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-19-2025,17208,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,0001V2,Pacific Trail Aqua Windbreaker Paint Splattered ,2025-07-11 15:16:49,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,,
shorts  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Shorts/Jorts,07-19-2025,17217,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,0001JM,Vtg UCLA Jersey ,2025-07-11 15:40:53,1,$14.00,$0.00,$14.00,$14.00,Athleticwear,,,,,,
laeli hello kitty tee 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Tees,07-20-2025,17221,$18.00,80.00%,$18.00,,$14.40,,,,,,,,,,,,,,0001C3,Vtg Banana Republic Blue Cargo Shorts ,2025-07-11 18:20:36,1,$12.00,$0.00,$12.00,$12.00,Shorts/Jorts,,,,,,
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-20-2025,17257,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,,,,,0001KE,Ecko Unltd Red Graphic Tee ,2025-07-12 15:26:17,1,$10.00,$0.00,$10.00,$10.00,Tees,,,,,,
shorts  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Shorts/Jorts,07-20-2025,17268,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,,,,,0001X8,Navy Christmas Crew ,2025-07-15 12:16:49,1,$14.00,$0.00,$14.00,$14.00,Crewnecks,,,,,,
gap beige lightweight jacket <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Jackets,07-21-2025,17318,$34.00,80.00%,$34.00,,$27.20,,,,,,,,,,,,,,0001TW,Mickey Mouse Unlimited Gray Graphic Tee ,2025-07-15 12:16:49,1,$12.00,$0.00,$12.00,$12.00,Tees,,,,,,
franco sarto silver shoulder bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,Bags,07-21-2025,17330,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,271,Marabou Tie Dye Long Sleeve SS ,2025-07-15 14:32:21,1,$14.00,$0.00,$14.00,$14.00,Long Sleeves,,,,,,
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-22-2025,17343,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,0002DA,90s Kathy Ireland Active Time to Bloom Graphic Tee Single Stitch WN ,2025-07-15 14:32:21,1,$10.00,$0.00,$10.00,$10.00,Tees,,,,,,
vintage rocket dog platforms 𝓼𝓱𝓸𝓮 𝓭𝓻𝓸𝓹!,Misc. Accessories,07-22-2025,17350,$16.00,80.00%,$16.00,,$12.80,,,,,,,,,,,,,,00022Y,Velvet by Graham & Spencer Gray Long Sleeve ,2025-07-15 14:32:21,1,$12.00,$0.00,$12.00,$12.00,Long Sleeves,,,,,,
vintage leather buckle bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,Bags,07-22-2025,17351,$62.00,80.00%,$62.00,,$49.60,,,,,,,,,,,,,,0001AO,Vtg Calvin Klein Logo Tee Made in USA ,2025-07-16 16:48:52,1,$14.99,$0.00,$14.99,$14.99,Tees,,,,,,
juicy bootleg 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Jackets,07-22-2025,17359,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,0001TJ,Vtg Giants Black Long Sleeve Made in USA ,2025-07-18 18:30:10,1,$14.00,$0.00,$14.00,$14.00,Long Sleeves,,,,,,
shorts  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Shorts/Jorts,07-23-2025,17394,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,00020M,St John's Bay Cream Coat ,2025-07-19 14:17:20,1,$14.00,$0.00,$14.00,$14.00,Coats,,,,,,
rosetti bb  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Blouses,07-24-2025,17407,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,0001OG,Cabe & Gauge Long Sleeve Toper ,2025-07-19 14:17:57,1,$12.00,$0.00,$12.00,$12.00,Long Sleeves,,,,,,
vintage tube carolina made in usa <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Tank tops ,07-24-2025,17426,$30.00,80.00%,$30.00,,$24.00,,,,,,,,,,,,,,00025S,South Park You Will Respect My Authority Tee WN ,2025-07-19 17:54:29,1,$10.00,$0.00,$10.00,$10.00,Tees,,,,,,
vintage just sexy lingerie red lace dress 𝕚 𝕝𝕠𝕧𝕖 𝕞𝕖!,Lingerie,07-25-2025,17450,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,,,,,00011F,Fever black babydoll top ,2025-07-20 12:35:37,1,$10.00,$0.00,$10.00,$10.00,Blouses,,,,,,
cutie double grommet belt  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Belts,07-25-2025,17466,$14.00,80.00%,$14.00,,$11.20,,,,,,,,,,,,,,214,Urban Outfitters Green Sweater ,2025-07-20 13:34:19,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,,,,
vintage aerosoles twist ~gwens closet~ 𝓼𝓱𝓸𝓮 𝓭𝓻𝓸𝓹!,Misc. Accessories,07-25-2025,17494,$40.00,80.00%,$40.00,,$32.00,,,,,,,,,,,,,,00025E,y2k Hawk Blue Graphic Tee ,2025-07-20 13:42:13,1,$12.00,$0.00,$12.00,$12.00,Tees,,,,,,
vintage denim blazer  jacket <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Jackets,07-26-2025,17521,$28.00,80.00%,$28.00,,$22.40,,,,,,,,,,,,,,00023A,Alberto Makali Patterned Blouse Button Up ,2025-07-20 17:19:06,1,$12.00,$0.00,$12.00,$12.00,Button Ups,,,,,,
vintage black have & have shortie cutie <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Shorts/Jorts,07-26-2025,17530,$34.00,80.00%,$34.00,,$27.20,,,,,,,,,,,,,,0001UM,Fox Racing Sweater ,2025-07-20 18:04:31,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,,,,
y2k american eagle long sleeve hoodie bb 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Hoodies,07-26-2025,17560,$28.00,80.00%,$28.00,,$22.40,,,,,,,,,,,,,,0002KN,Independent Truck Co Gray Long Sleeve TO ,2025-07-22 17:52:02,1,$10.00,$9.00,$10.00,$1.00,Long Sleeves,,,,,,
slip dress red 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Lingerie,07-26-2025,17569,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,,,,,00028P,San Francisco State University Crewneck GW ,2025-07-25 16:23:47,1,$14.00,$0.00,$14.00,$14.00,Crewnecks,,,,,,
